CustomerID,Total_Orders,Total_Revenue,AOV,CLV,Tier
12346.0,1,77183.6,77183.6,77183.6,Platinum
12347.0,7,4310.0,615.7142857142857,4310.0,Platinum
12348.0,4,1797.24,449.31,1797.24,Platinum
12349.0,1,1757.55,1757.55,1757.55,Platinum
12350.0,1,334.4,334.4,334.4,Silver
12352.0,8,2506.04,313.255,2506.04,Platinum
12353.0,1,89.0,89.0,89.0,Bronze
12354.0,1,1079.4,1079.4,1079.4,Gold
12355.0,1,459.4,459.4,459.4,Silver
12356.0,3,2811.43,937.1433333333333,2811.43,Platinum
12357.0,1,6207.67,6207.67,6207.67,Platinum
12358.0,2,1168.06,584.03,1168.06,Gold
12359.0,4,6310.03,1577.5075,6310.03,Platinum
12360.0,3,2662.06,887.3533333333334,2662.06,Platinum
12361.0,1,189.9,189.9,189.9,Bronze
12362.0,10,5226.23,522.6229999999999,5226.23,Platinum
12363.0,2,552.0,276.0,552.0,Silver
12364.0,4,1313.1,328.275,1313.1,Gold
12365.0,2,641.38,320.69,641.38,Silver
12367.0,1,168.9,168.9,168.9,Bronze
12370.0,4,3541.94,885.485,3541.94,Platinum
12371.0,2,1887.96,943.98,1887.96,Platinum
12372.0,3,1298.04,432.68,1298.04,Gold
12373.0,1,364.6,364.6,364.6,Silver
12374.0,1,742.9300000000001,742.9300000000001,742.9300000000001,Gold
12375.0,2,457.5,228.75,457.5,Silver
12377.0,2,1628.12,814.06,1628.12,Gold
12378.0,1,4008.62,4008.62,4008.62,Platinum
12379.0,2,852.24,426.12,852.24,Gold
12380.0,4,2724.81,681.2025,2724.81,Platinum
12381.0,5,1845.31,369.062,1845.31,Platinum
12383.0,5,1850.56,370.11199999999997,1850.56,Platinum
12384.0,2,585.27,292.635,585.27,Silver
12386.0,2,401.9,200.95,401.9,Silver
12388.0,6,2780.66,463.4433333333333,2780.66,Platinum
12390.0,1,549.84,549.84,549.84,Silver
12391.0,1,439.66,439.66,439.66,Silver
12393.0,4,1582.6000000000001,395.65000000000003,1582.6000000000001,Gold
12394.0,2,1272.48,636.24,1272.48,Gold
12395.0,12,3018.63,251.5525,3018.63,Platinum
12397.0,2,2409.9,1204.95,2409.9,Platinum
12398.0,1,1635.6599999999999,1635.6599999999999,1635.6599999999999,Gold
12399.0,4,1108.65,277.1625,1108.65,Gold
12401.0,1,84.3,84.3,84.3,Bronze
12402.0,1,225.6,225.6,225.6,Bronze
12403.0,1,427.7,427.7,427.7,Silver
12405.0,1,1710.39,1710.39,1710.39,Platinum
12406.0,2,3415.3,1707.65,3415.3,Platinum
12407.0,5,1708.1200000000001,341.624,1708.1200000000001,Platinum
12408.0,5,2888.55,577.71,2888.55,Platinum
12409.0,3,11072.67,3690.89,11072.67,Platinum
12410.0,2,693.3299999999999,346.66499999999996,693.3299999999999,Gold
12412.0,3,1226.88,408.96000000000004,1226.88,Gold
12413.0,3,758.1,252.70000000000002,758.1,Gold
12414.0,3,562.41,187.47,562.41,Silver
12415.0,21,124914.53,5948.310952380953,124914.53,Platinum
12417.0,9,3649.1,405.4555555555555,3649.0999999999995,Platinum
12418.0,1,668.58,668.58,668.58,Gold
12420.0,1,600.39,600.39,600.39,Silver
12421.0,4,807.04,201.76,807.04,Gold
